Customer_ID,product_names,price_as_$,purchase_Date,quantity,availability,rating,reviews_sum
C003,"Samsung Galaxy Tab A9+ Tablet 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light,",149.0032,2024-11-22,10,In Stock,4.5 out of 5,7369
C004,"COOPERS Tablet 10 inch, Android 14 Tablet, 32GB ROM 1TB Expand Computer Tablets, Quad Core Processor 6000mAh Battery, 1280x800 IPS",53.99,2024-02-10,2,In Stock,3.7 out of 5,4893
C005,"Tablet,10.1"" Android Tablet with Octa",89.9931,2024-10-10,5,In Stock,4.4 out of 5,643
C006,"10 inch Tablet Android 13 Tablets, 6GB RAM 64GB ROM 512GB Expand, Quad",52.99,2024-11-04,2,In Stock,3.6 out of 5,1932
C008,Tablet Android 14 Tablet 10 Inch Tablet 64GB Storage Tablets 8GB RAM 1024GB Expand 2MP+8MP Dual Camera 10 IN Tab,54.99,2024-11-18,500,In Stock,3.9 out of 5,1552
C010,"Samsung Galaxy Tab S6 Lite 10.4' 64GB WiFi Android Tablet, S Pen Included, Gaming Ready, Long Battery Life, Slim Metal",199.9926,2024-08-25,6,In Stock,4.5 out of 5,1050
C011,"BYYBUO SmartPad A10_L Tablet 10.1 inch Android 13 Tablets, 4GB RAM 64GB ROM Quad",54.9521,2024-05-12,2,In Stock,3.8 out of 5,2125
C013,"YQSAVIOR Tablet, Android 12 10"" Tablet, 6GB RAM 128GB ROM 1TB Expansion with Case, Support 5G WiFi Wi",44.991,2024-08-30,100,In Stock,3.7 out of 5,80
C014,"Android 14 Tablet,10 inch Tablet, Octa Core Processor, 10GB+64GB+512GB Expansion, 1280x800 HD IPS Display Screen, Wi",75.98,2024-09-28,500,In Stock,4.3 out of 5,83
C015,"2024 Newest 10 Inch Tablet with Keyboard, 12GB RAM 128GB ROM 1TB Expand, Octa",119.99,2024-11-15,400,In Stock,5 out of 5,21
C016,"Android Tablet, 10.1 inch Android 13 Tablets 6GB RAM 64GB ROM 1TB Expand, 1280x800 IPS HD Touchscreen,6000mAh Battery, Bluetooth, Dual",54.997,2024-09-27,500,In Stock,3.8 out of 5,1454
C019,"Latest 2024 Android 13 Tablet, 128GB+16GB/512GB Expandable, Octa",199.99,2024-07-15,3,In Stock,4.3 out of 5,1340
C020,2024 Tablet 10 inch Android 13 Tablets Octa,59.99,2021-03-19,300,In Stock,4.5 out of 5,30
C021,Lenovo Tab M9,126.0016,2024-10-14,1,In Stock,4.3 out of 5,1077
C023,"Amazon Basics USB Condenser Microphone for Streaming, Recording, and Podcasting on PC, Plug and Play, Cardioid Pickup, Adjustable Stand with",34.64,2024-10-26,500,In Stock,4.4 out of 5 stars,75
C024,"Turtle Beach Stealth 600 Gen 3 Wireless Multiplatform Amplified Gaming Headset for Xbox Series X|S, Xbox One, PC, PS5, PS4,",84.99,2024-09-06,20,In Stock,4.0 out of 5 stars,771
